lateral contact position,vertical contact position,yaw angle,derailment coefficient
0.028375,0.00410893,-0.00593119,-0.452336
0.0283754,0.00410904,-0.00592381,-0.453637
0.0283758,0.00410916,-0.00591573,-0.45517
0.0283762,0.00410928,-0.00590694,-0.456908
0.0283766,0.0041094,-0.00589745,-0.458669
0.0283772,0.00410957,-0.0058872,-0.460822
0.0283779,0.00410977,-0.0058761,-0.463356
0.0283787,0.00410998,-0.00586413,-0.466207
0.0283795,0.00411022,-0.00585123,-0.469322
0.0283804,0.00411047,-0.00583737,-0.472649
0.0283814,0.00411075,-0.00582249,-0.476128
0.0283824,0.00411103,-0.00580656,-0.479692
0.0283835,0.00411133,-0.00579096,-0.483337
0.0283845,0.00411163,-0.00577905,-0.487244
0.0283856,0.00411192,-0.00577096,-0.491442
0.0283865,0.0041122,-0.00576666,-0.495967
0.0283875,0.00411246,-0.00576614,-0.500791
0.0283883,0.00411271,-0.0057694,-0.505905
0.0283892,0.00411294,-0.00577642,-0.511161
0.0283899,0.00411315,-0.00578721,-0.516895
0.0283906,0.00411335,-0.00580173,-0.522685
0.0283912,0.00411351,-0.00581985,-0.528414
0.0283918,0.00411369,-0.00584185,-0.534341
0.0283924,0.00411386,-0.0058678,-0.540434
0.0283929,0.00411399,-0.00589766,-0.546672
0.0283933,0.0041141,-0.00593143,-0.553011
0.0283936,0.00411419,-0.0059691,-0.559451
0.0283937,0.00411421,-0.00601069,-0.5658
0.0283937,0.00411423,-0.00605627,-0.572143
0.0283939,0.00411426,-0.00610597,-0.579039
0.0283938,0.00411425,-0.00615984,-0.586064
0.0283936,0.0041142,-0.00621786,-0.593065
0.0283933,0.0041141,-0.0062801,-0.599861
0.0283928,0.00411396,-0.0063466,-0.606667
0.0283922,0.00411381,-0.00641728,-0.613477
0.0283916,0.00411363,-0.00648698,-0.62005
0.028391,0.00411346,-0.00655322,-0.626211
0.0283905,0.0041133,-0.00661604,-0.631983
0.0283899,0.00411314,-0.00667548,-0.6372
0.0283894,0.004113,-0.0067316,-0.641877
0.0283889,0.00411286,-0.00678446,-0.645992
0.0283885,0.00411276,-0.00683409,-0.649615
0.0283884,0.00411274,-0.00688049,-0.65318
0.0283883,0.00411269,-0.00692367,-0.656317
0.0283881,0.00411264,-0.00696369,-0.65874
0.028388,0.0041126,-0.00700057,-0.660586
0.0283879,0.00411258,-0.00703431,-0.661895
0.0283879,0.00411257,-0.00706495,-0.662739
0.0283879,0.00411257,-0.00709251,-0.663033
0.0283879,0.00411258,-0.00711697,-0.663013
0.028388,0.0041126,-0.00713834,-0.662451
0.0283881,0.00411263,-0.00715666,-0.661272
0.0283882,0.00411267,-0.00717187,-0.659693
0.0283884,0.00411273,-0.00718396,-0.657634
0.0283887,0.00411279,-0.00719295,-0.655062
0.0283889,0.00411287,-0.00719881,-0.652011
0.0283893,0.00411297,-0.00720156,-0.648492
0.0283896,0.00411307,-0.00720207,-0.644545
0.0283899,0.00411314,-0.00720354,-0.640435
0.02839,0.00411318,-0.00720621,-0.636238
0.0283901,0.00411319,-0.00721006,-0.632004
0.02839,0.00411318,-0.0072151,-0.627647
0.0283899,0.00411314,-0.00722131,-0.623193
0.0283897,0.00411308,-0.00722868,-0.618685
0.0283894,0.00411299,-0.0072372,-0.614156
0.028389,0.00411288,-0.00724687,-0.60965
0.0283885,0.00411274,-0.00725767,-0.605201
0.0283879,0.00411258,-0.0072696,-0.60085
0.0283872,0.00411239,-0.00728265,-0.596639
0.0283865,0.00411219,-0.00729681,-0.592581
0.0283857,0.00411196,-0.00731208,-0.588729
0.0283848,0.00411171,-0.00732846,-0.585085
0.0283838,0.00411143,-0.00734594,-0.581692
0.0283828,0.00411114,-0.00736453,-0.578576
0.0283817,0.00411083,-0.00738422,-0.575746
0.0283805,0.0041105,-0.00740503,-0.57318
0.0283793,0.00411015,-0.00742695,-0.570985
0.028378,0.00410978,-0.00744997,-0.569209
0.0283766,0.00410939,-0.00747409,-0.567972
0.0283752,0.00410899,-0.00749929,-0.567132
0.0283737,0.00410858,-0.00752462,-0.566547
0.0283723,0.00410816,-0.00754926,-0.566242
0.0283708,0.00410775,-0.00757322,-0.566196
0.0283694,0.00410734,-0.00759649,-0.566409
0.0283679,0.00410693,-0.00761909,-0.566695
0.0283665,0.00410653,-0.00764101,-0.56731
0.0283651,0.00410615,-0.00766223,-0.568176
0.0283638,0.00410578,-0.00768275,-0.569152
0.0283625,0.00410542,-0.00770259,-0.570284
0.0283614,0.00410509,-0.00772172,-0.571605
0.0283602,0.00410476,-0.00774015,-0.572995
0.0283591,0.00410445,-0.00775789,-0.574392
0.028358,0.00410415,-0.00777493,-0.575837
0.0283571,0.00410387,-0.00779129,-0.577313
0.0283561,0.00410361,-0.00780696,-0.578799
0.0283553,0.00410337,-0.00782195,-0.580279
0.0283545,0.00410315,-0.00783626,-0.581729
0.0283538,0.00410295,-0.0078499,-0.583181
0.0283532,0.00410277,-0.00786289,-0.584632
0.0283526,0.00410261,-0.00787523,-0.586113
0.0283521,0.00410247,-0.00788693,-0.587592
0.0283517,0.00410235,-0.00789798,-0.589053
0.0283514,0.00410227,-0.00790838,-0.590485
0.0283512,0.00410222,-0.00791809,-0.591889
0.028351,0.00410218,-0.0079271,-0.593331
0.0283509,0.00410215,-0.00793541,-0.594804
0.0283509,0.00410213,-0.00794304,-0.596385
0.0283509,0.00410212,-0.00795001,-0.598088
0.0283509,0.00410213,-0.00795632,-0.599926
0.028351,0.00410216,-0.00796201,-0.601976
0.0283511,0.0041022,-0.0079671,-0.604241
0.0283513,0.00410226,-0.00797158,-0.606669
0.0283516,0.00410233,-0.00797541,-0.609225
0.0283519,0.00410242,-0.00797854,-0.611735
0.0283522,0.00410251,-0.007981,-0.614442
0.0283526,0.00410261,-0.0079828,-0.617316
0.028353,0.00410271,-0.00798393,-0.6203
0.0283534,0.00410283,-0.00798438,-0.623415
0.0283538,0.00410295,-0.00798411,-0.626597
0.0283542,0.00410307,-0.00798311,-0.629853
0.0283547,0.0041032,-0.00798135,-0.633162
0.0283551,0.00410333,-0.0079788,-0.636515
0.0283556,0.00410346,-0.00797541,-0.639925
0.0283561,0.00410359,-0.00797115,-0.643415
0.0283565,0.00410372,-0.00796595,-0.646999
0.0283569,0.00410383,-0.00795926,-0.650543
0.0283573,0.00410394,-0.00795037,-0.653863
0.0283577,0.00410407,-0.00793923,-0.656896
0.0283582,0.0041042,-0.00792577,-0.659582
0.0283587,0.00410435,-0.00790994,-0.661848
0.0283593,0.00410451,-0.00789168,-0.66367
0.0283599,0.00410469,-0.00787096,-0.665046
0.0283606,0.00410488,-0.00784769,-0.666021
0.0283614,0.00410509,-0.00782186,-0.666543
0.0283622,0.00410532,-0.00779342,-0.666602
0.0283631,0.00410557,-0.00776233,-0.666166
0.028364,0.00410584,-0.00772856,-0.665185
0.0283651,0.00410613,-0.00769208,-0.663626
0.0283661,0.00410643,-0.00765285,-0.661478
0.0283673,0.00410675,-0.00761085,-0.658728
0.0283684,0.00410708,-0.00756608,-0.655384
0.0283696,0.00410742,-0.00751852,-0.651483
0.0283708,0.00410776,-0.00746818,-0.647141
0.028372,0.0041081,-0.00741506,-0.64235
0.0283733,0.00410845,-0.00735917,-0.637143
0.0283745,0.00410879,-0.00730053,-0.631535
0.0283757,0.00410914,-0.00723917,-0.625535
0.0283769,0.00410948,-0.00717554,-0.61912
0.0283781,0.0041098,-0.00711461,-0.612571
0.0283791,0.00411008,-0.00705778,-0.606005
0.0283799,0.00411031,-0.00700506,-0.59946
0.0283804,0.00411047,-0.00695636,-0.593453
0.0283809,0.00411059,-0.00691195,-0.587018
0.0283812,0.00411068,-0.00687188,-0.58065
0.0283812,0.00411069,-0.00683615,-0.574794
0.0283811,0.00411065,-0.0068048,-0.569437
0.0283807,0.00411056,-0.00677786,-0.564641
0.0283802,0.00411041,-0.00675539,-0.560406
0.0283795,0.00411021,-0.00673745,-0.556742
0.0283787,0.00410998,-0.00672408,-0.55376
0.0283777,0.0041097,-0.00671532,-0.551414
0.0283766,0.00410938,-0.00671125,-0.549719
0.0283753,0.00410903,-0.00671191,-0.548713
0.028374,0.00410865,-0.00671736,-0.54845
0.0283725,0.00410824,-0.00672765,-0.548968
0.028371,0.0041078,-0.00674282,-0.550307
0.0283693,0.00410732,-0.00676295,-0.552451
0.0283675,0.00410682,-0.00678809,-0.555447
0.0283656,0.00410629,-0.00681827,-0.559253
0.0283636,0.00410572,-0.00685355,-0.563837
0.0283615,0.00410513,-0.00689223,-0.569185
0.0283595,0.00410456,-0.00693134,-0.575081
0.0283573,0.00410394,-0.00697095,-0.581323
0.0283553,0.00410337,-0.00701098,-0.5882
0.0283532,0.00410279,-0.0070515,-0.595415
0.0283514,0.00410228,-0.00709238,-0.603173
0.0283495,0.00410175,-0.00713367,-0.611191
0.0283476,0.00410121,-0.00717548,-0.619155
0.0283458,0.00410069,-0.00721782,-0.627099
0.0283439,0.00410017,-0.00726073,-0.63498
0.0283422,0.00409968,-0.00730421,-0.642753
0.0283405,0.0040992,-0.00734828,-0.650362
0.0283389,0.00409874,-0.00739295,-0.657756
0.0283373,0.0040983,-0.00743823,-0.664882
0.0283358,0.00409788,-0.00748413,-0.671689
0.0283344,0.00409748,-0.00753065,-0.678147
0.028333,0.0040971,-0.00757778,-0.684253
0.0283318,0.00409674,-0.00762552,-0.689981
0.0283306,0.0040964,-0.00767387,-0.695292
0.0283295,0.00409609,-0.00772282,-0.700113
0.0283285,0.00409581,-0.00777235,-0.704388
0.0283276,0.00409556,-0.00782245,-0.708061
0.0283268,0.00409534,-0.0078731,-0.711106
0.0283261,0.00409515,-0.00792421,-0.713522
0.0283255,0.00409499,-0.00797571,-0.715356
0.028325,0.00409484,-0.00802761,-0.716672
0.0283246,0.00409472,-0.00807986,-0.717543
0.0283242,0.00409462,-0.00813245,-0.718058
0.0283239,0.00409452,-0.00818535,-0.718268
0.0283236,0.00409443,-0.00823852,-0.718259
0.0283233,0.00409434,-0.00829192,-0.718083
0.0283229,0.00409425,-0.00834552,-0.717764
0.0283226,0.00409416,-0.00839927,-0.717307
0.0283223,0.00409407,-0.00845314,-0.716713
0.0283219,0.00409397,-0.00850707,-0.715982
0.0283216,0.00409387,-0.0085611,-0.714526
0.0283212,0.00409377,-0.00861505,-0.713409
0.0283208,0.00409366,-0.00866888,-0.712054
0.0283204,0.00409353,-0.00872252,-0.710849
0.0283199,0.00409339,-0.00877593,-0.709798
0.0283193,0.00409324,-0.00882902,-0.708551
0.0283187,0.00409306,-0.00888175,-0.707741
0.028318,0.00409287,-0.00893402,-0.70669
0.0283173,0.00409266,-0.00898576,-0.705756
0.0283164,0.00409242,-0.00903691,-0.705036
0.0283155,0.00409216,-0.00908643,-0.704509
0.0283144,0.00409186,-0.00913177,-0.704629
0.0283135,0.00409158,-0.00917274,-0.704329
0.0283125,0.00409132,-0.00920926,-0.703745
0.0283117,0.00409108,-0.0092413,-0.702611
0.0283109,0.00409087,-0.00926877,-0.70116
0.0283102,0.00409067,-0.00929165,-0.699288
0.0283096,0.00409049,-0.00930989,-0.696991
0.028309,0.00409033,-0.00932347,-0.69437
0.0283085,0.00409018,-0.00933234,-0.691394
0.028308,0.00409005,-0.00933652,-0.687945
0.0283077,0.00408996,-0.00933591,-0.684105
0.0283075,0.00408989,-0.00933035,-0.679881
0.0283072,0.00408981,-0.00932011,-0.675435
0.0283068,0.00408971,-0.00930516,-0.670819
0.0283066,0.00408966,-0.00928544,-0.665872
0.0283064,0.0040896,-0.00926105,-0.660677
0.0283063,0.00408956,-0.00923202,-0.655257
0.0283062,0.00408955,-0.00919834,-0.649603
0.0283062,0.00408953,-0.00916011,-0.643736
0.0283064,0.0040896,-0.00911717,-0.637985
0.0283064,0.0040896,-0.00906973,-0.632017
0.0283064,0.0040896,-0.00901787,-0.625838
0.0283066,0.00408964,-0.00896513,-0.619673
0.0283065,0.00408962,-0.0089135,-0.613641
0.0283064,0.00408959,-0.00886302,-0.607666
0.0283063,0.00408958,-0.00881376,-0.601805
0.0283063,0.00408956,-0.00876568,-0.596386
0.0283061,0.00408952,-0.00871883,-0.591244
0.028306,0.0040895,-0.00867322,-0.586644
0.0283059,0.00408946,-0.0086289,-0.582485
0.0283058,0.00408943,-0.00858593,-0.578941
0.0283057,0.0040894,-0.00854434,-0.575994
0.0283057,0.00408939,-0.00850419,-0.573145
0.0283057,0.00408938,-0.0084655,-0.570956
0.0283057,0.00408941,-0.00842831,-0.568963
0.0283058,0.00408944,-0.00839262,-0.567725
0.028306,0.00408949,-0.00835845,-0.567117
0.0283063,0.00408958,-0.00832581,-0.567128
0.0283067,0.00408968,-0.00829472,-0.567745
0.0283071,0.0040898,-0.00826521,-0.568967
0.0283077,0.00408996,-0.00823729,-0.570717
0.0283082,0.00409011,-0.00821095,-0.573223
0.0283087,0.00409025,-0.00818624,-0.576842
0.0283095,0.00409048,-0.00816314,-0.580397
0.0283108,0.00409084,-0.0081421,-0.583526
0.028312,0.00409116,-0.00812455,-0.587386
0.028313,0.00409144,-0.00811059,-0.591863
0.028314,0.00409173,-0.00810021,-0.596873
0.028315,0.00409202,-0.00809341,-0.602378
0.028316,0.00409231,-0.00809021,-0.608339
0.028317,0.00409258,-0.00809058,-0.614742
0.028318,0.00409285,-0.00809453,-0.621506
0.0283189,0.00409311,-0.00810206,-0.628563
0.0283198,0.00409336,-0.00811317,-0.635913
0.0283205,0.00409357,-0.00812785,-0.643565
0.0283212,0.00409377,-0.00814612,-0.651476
0.0283218,0.00409393,-0.00816796,-0.65949
0.0283223,0.00409408,-0.00819339,-0.667329
0.0283227,0.00409418,-0.00822241,-0.675734
0.0283229,0.00409425,-0.00825501,-0.683695
